ChargerXML;/MappeDefaut.xml
Joueur;Joueur1;200;0;0
Joueur;Joueur2;0;230;0
SetMainJoueur;0;4;1;0;2;0;0;0;1;1
SetMainJoueur;1;4;1;0;2;0;0;0;1;1
WagonJoueur;0;6
WagonJoueur;1;4
PrendreArete;0;1
PrendreArete;1;2
PrendreArete;0;3
PrendreArete;1;4
PrendreArete;0;5
PrendreArete;1;6
PrendreArete;0;7
PrendreArete;1;8
PrendreArete;0;9
PrendreArete;1;10
PrendreArete;0;11
PrendreArete;1;12
PrendreArete;0;13
PrendreArete;1;14
PrendreArete;0;15
PrendreArete;1;16
PrendreArete;0;17
PrendreArete;1;18
PrendreArete;0;19
PrendreArete;1;20
PrendreArete;0;21
PrendreArete;1;22
PrendreArete;0;23
PrendreArete;1;24
PrendreArete;0;25
PrendreArete;1;26
PrendreArete;0;27
PrendreArete;1;28
PrendreArete;0;29
PrendreArete;1;30
PrendreArete;0;31
PrendreArete;1;32
PrendreArete;0;33
PrendreArete;1;34
PrendreArete;0;35
PrendreArete;1;36
PrendreArete;0;37
PrendreArete;1;38
PrendreArete;0;39
PrendreArete;1;40
PrendreArete;0;41
PrendreArete;1;42
PrendreArete;0;43
PrendreArete;1;44
PrendreArete;0;45
PrendreArete;1;46
PrendreArete;0;47
PrendreArete;1;48
PrendreArete;0;49
PrendreArete;1;50
PrendreArete;0;51
PrendreArete;1;52
PrendreArete;0;53
PrendreArete;1;54
PrendreArete;0;55
PrendreArete;1;56
PrendreArete;0;57
PrendreArete;1;58
PrendreArete;0;59
PrendreArete;1;60
PrendreArete;0;61
PrendreArete;1;62
PrendreArete;0;63
PrendreArete;1;64
PrendreArete;0;65
PrendreArete;1;66
PrendreArete;0;67
PrendreArete;1;68
PrendreArete;0;69
PrendreArete;1;70
Jeu
